District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production
Bagerhat,Kharif 2,Aman,177321,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,144.96843434343435,0.8510272331,June,July to  Oct,Nov to Dec,150905
Bandarban,Kharif 2,Aman,25646,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,243.94444444444446,1.175777899,June,July to  Oct,Nov to Dec,30154
Barguna,Kharif 2,Aman,231401,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,207.8076923076923,0.7705887183,June,July to  Oct,Nov to Dec,178315
Barishal,Kharif 2,Aman,302665,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.7571043893,June,July to  Oct,Nov to Dec,229149
Bhola,Kharif 2,Aman,388575,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.23090277777777,1.100652384,June,July to  Oct,Nov to Dec,427686
Bogura,Kharif 2,Aman,443007,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.192475514,June,July to  Oct,Nov to Dec,528275
Brahmanbaria,Kharif 2,Aman,174588,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131314,1.014634454,June,July to  Oct,Nov to Dec,177143
Chandpur,Kharif 2,Aman,90004,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,168.796875,0.7804430914,June,July to  Oct,Nov to Dec,70243
Chapai Nawabganj,Kharif 2,Aman,140665,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.127252693,June,July to  Oct,Nov to Dec,158565
Chattogram,Kharif 2,Aman,444857,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,243.94444444444446,0.9779996718,June,July to  Oct,Nov to Dec,435070
Chuadanga,Kharif 2,Aman,85718,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.096677477,June,July to  Oct,Nov to Dec,94005
CoxsBazar,Kharif 2,Aman,181306,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,303.40277777777777,1.110415541,June,July to  Oct,Nov to Dec,201325
Cumilla,Kharif 2,Aman,327517,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131314,0.9096474381,June,July to  Oct,Nov to Dec,297925
Dhaka,Kharif 2,Aman,18702,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.9652443589,June,July to  Oct,Nov to Dec,18052
Dinajpur,Kharif 2,Aman,645472,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,1.078918993,June,July to  Oct,Nov to Dec,696412
Faridpur,Kharif 2,Aman,191856,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,1.040175965,June,July to  Oct,Nov to Dec,199564
Feni,Kharif 2,Aman,163129,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,248.1727642276423,1.202152897,June,July to  Oct,Nov to Dec,196106
Gaibandha,Kharif 2,Aman,293991,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.126656938,June,July to  Oct,Nov to Dec,331227
Gazipur,Kharif 2,Aman,112432,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,1.185907927,June,July to  Oct,Nov to Dec,133334
Gopalganj,Kharif 2,Aman,59993,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.7519377261,June,July to  Oct,Nov to Dec,45111
Habiganj,Kharif 2,Aman,245464,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.064665287,June,July to  Oct,Nov to Dec,261337
Jamalpur,Kharif 2,Aman,265787,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9535003593,June,July to  Oct,Nov to Dec,253428
Jashore,Kharif 2,Aman,338887,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.14695459,June,July to  Oct,Nov to Dec,388688
Jhallokati,Kharif 2,Aman,116665,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.7944799211,June,July to  Oct,Nov to Dec,92688
Jhenaidah,Kharif 2,Aman,252930,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.369529119,June,July to  Oct,Nov to Dec,346395
Joypurhat,Kharif 2,Aman,170726,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.137928611,June,July to  Oct,Nov to Dec,194274
Khagrachari,Kharif 2,Aman,66694,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,1.304375206,June,July to  Oct,Nov to Dec,86994
Khulna,Kharif 2,Aman,237461,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,144.96843434343435,1.120950388,June,July to  Oct,Nov to Dec,266182
Kishoreganj,Kharif 2,Aman,186328,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,1.158322957,June,July to  Oct,Nov to Dec,215828
Kurigram,Kharif 2,Aman,283509,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.102067307,June,July to  Oct,Nov to Dec,312446
Kushtia,Kharif 2,Aman,225972,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.200374383,June,July to  Oct,Nov to Dec,271251
Lakshmipur,Kharif 2,Aman,185213,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131314,1.053263,June,July to  Oct,Nov to Dec,195078
Lalmonirhat,Kharif 2,Aman,189950,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.141163464,June,July to  Oct,Nov to Dec,216764
Madaripur,Kharif 2,Aman,40746,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,160.41666666666666,0.8303146321,June,July to  Oct,Nov to Dec,33832
Magura,Kharif 2,Aman,143430,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.062643798,June,July to  Oct,Nov to Dec,152415
Manikganj,Kharif 2,Aman,19457,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.9198231999,June,July to  Oct,Nov to Dec,17897
Meherpur,Kharif 2,Aman,82524,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.279203626,June,July to  Oct,Nov to Dec,105565
Moulvibazar,Kharif 2,Aman,251081,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.180622986,June,July to  Oct,Nov to Dec,296432
Munshiganj,Kharif 2,Aman,41822,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.3934053847,June,July to  Oct,Nov to Dec,16453
Mymensingh,Kharif 2,Aman,663734,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9711571202,June,July to  Oct,Nov to Dec,644590
Naogaon,Kharif 2,Aman,468054,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.082366565,June,July to  Oct,Nov to Dec,506606
Narail,Kharif 2,Aman,85229,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.068098887,June,July to  Oct,Nov to Dec,91033
Narayanganj,Kharif 2,Aman,19756,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.5482385098,June,July to  Oct,Nov to Dec,10831
Narsingdi,Kharif 2,Aman,97752,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,1.039313774,June,July to  Oct,Nov to Dec,101595
Natore,Kharif 2,Aman,182696,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.119438849,June,July to  Oct,Nov to Dec,204517
Netrokona,Kharif 2,Aman,301949,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,1.091058424,June,July to  Oct,Nov to Dec,329444
Nilphamari,Kharif 2,Aman,279580,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.103355033,June,July to  Oct,Nov to Dec,308476
Noakhali,Kharif 2,Aman,382971,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131314,1.033623956,June,July to  Oct,Nov to Dec,395848
Pabna,Kharif 2,Aman,221929,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,0.8668718374,June,July to  Oct,Nov to Dec,192384
Panchagar,Kharif 2,Aman,246162,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,1.246549021,June,July to  Oct,Nov to Dec,306853
Patuakhali,Kharif 2,Aman,431833,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,207.8076923076923,0.749345233,June,July to  Oct,Nov to Dec,323592
Pirojpur,Kharif 2,Aman,155038,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.6449257601,June,July to  Oct,Nov to Dec,99988
Rajbari,Kharif 2,Aman,117377,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.9136968912,June,July to  Oct,Nov to Dec,107247
Rajshahi,Kharif 2,Aman,182555,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.273851716,June,July to  Oct,Nov to Dec,232548
Rangamati,Kharif 2,Aman,23990,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,1.199041267,June,July to  Oct,Nov to Dec,28765
Rangpur,Kharif 2,Aman,405055,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.092310921,June,July to  Oct,Nov to Dec,442446
Satkhira,Kharif 2,Aman,207744,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,140.35353535353536,1.108450786,June,July to  Oct,Nov to Dec,230274
Shariatpur,Kharif 2,Aman,32898,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.701501611,June,July to  Oct,Nov to Dec,23078
Sherpur,Kharif 2,Aman,202388,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9527689389,June,July to  Oct,Nov to Dec,192829
Sirajganj,Kharif 2,Aman,200166,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.104498266,June,July to  Oct,Nov to Dec,221083
Sunamganj,Kharif 2,Aman,198587,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.044851879,June,July to  Oct,Nov to Dec,207494
Sylhet,Kharif 2,Aman,336140,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.05969834,June,July to  Oct,Nov to Dec,356207
Tangail,Kharif 2,Aman,249183,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,153.4104938271605,0.8334115891,June,July to  Oct,Nov to Dec,207672
