District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production,Crop_Label_22,_orig_id
Bagerhat,Kharif 2,Aman,177321.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,144.96843434343435,0.8510272331,June,July to  Oct,Nov to Dec,150905.0,rice,0
Bandarban,Kharif 2,Aman,25646.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,243.94444444444449,1.175777899,June,July to  Oct,Nov to Dec,30154.0,rice,1
Barguna,Kharif 2,Aman,231401.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,207.8076923076923,0.7705887183,June,July to  Oct,Nov to Dec,178315.0,rice,2
Barishal,Kharif 2,Aman,302665.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,175.42564102564103,0.7571043893,June,July to  Oct,Nov to Dec,229149.0,rice,3
Bhola,Kharif 2,Aman,388575.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,185.23090277777777,1.100652384,June,July to  Oct,Nov to Dec,427686.0,rice,4
Bogura,Kharif 2,Aman,443007.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,142.85416666666666,1.192475514,June,July to  Oct,Nov to Dec,528275.0,rice,5
Brahmanbaria,Kharif 2,Aman,174588.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,185.7563131313132,1.014634454,June,July to  Oct,Nov to Dec,177143.0,rice,6
Chandpur,Kharif 2,Aman,90004.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,168.796875,0.7804430914,June,July to  Oct,Nov to Dec,70243.0,rice,7
Chapai Nawabganj,Kharif 2,Aman,140665.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,124.92,1.127252693,June,July to  Oct,Nov to Dec,158565.0,rice,8
Chattogram,Kharif 2,Aman,444857.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,243.94444444444449,0.9779996718,June,July to  Oct,Nov to Dec,435070.0,rice,9
Chuadanga,Kharif 2,Aman,85718.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,129.44444444444446,1.096677477,June,July to  Oct,Nov to Dec,94005.0,rice,10
CoxsBazar,Kharif 2,Aman,181306.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,303.40277777777777,1.110415541,June,July to  Oct,Nov to Dec,201325.0,rice,11
Cumilla,Kharif 2,Aman,327517.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,185.7563131313132,0.9096474381,June,July to  Oct,Nov to Dec,297925.0,rice,12
Dhaka,Kharif 2,Aman,18702.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,0.9652443589,June,July to  Oct,Nov to Dec,18052.0,rice,13
Dinajpur,Kharif 2,Aman,645472.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,154.21843434343435,1.078918993,June,July to  Oct,Nov to Dec,696412.0,rice,14
Faridpur,Kharif 2,Aman,191856.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,1.040175965,June,July to  Oct,Nov to Dec,199564.0,rice,15
Feni,Kharif 2,Aman,163129.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,248.1727642276423,1.202152897,June,July to  Oct,Nov to Dec,196106.0,rice,16
Gaibandha,Kharif 2,Aman,293991.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,1.126656938,June,July to  Oct,Nov to Dec,331227.0,rice,17
Gazipur,Kharif 2,Aman,112432.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,1.185907927,June,July to  Oct,Nov to Dec,133334.0,rice,18
Gopalganj,Kharif 2,Aman,59993.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,0.7519377261,June,July to  Oct,Nov to Dec,45111.0,rice,19
Habiganj,Kharif 2,Aman,245464.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,333.72557471264366,1.064665287,June,July to  Oct,Nov to Dec,261337.0,rice,20
Jamalpur,Kharif 2,Aman,265787.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,0.9535003593,June,July to  Oct,Nov to Dec,253428.0,rice,21
Jashore,Kharif 2,Aman,338887.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,134.2247474747475,1.14695459,June,July to  Oct,Nov to Dec,388688.0,rice,22
