District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production,Crop_Label_22
Bagerhat,Kharif 2,Aman,177321,82.27,47.06,40.31,6.53,26.0,12.0,40,72.5,85,60,144.96843434343435,0.8510272331,June,July to  Oct,Nov to Dec,150905,rice
Bandarban,Kharif 2,Aman,25646,79.23,51.5,40.89,6.42,26.0,12.0,40,72.5,85,60,243.94444444444449,1.175777899,June,July to  Oct,Nov to Dec,30154,rice
Barguna,Kharif 2,Aman,231401,82.99,45.74,40.4,6.16,26.0,12.0,40,72.5,85,60,207.8076923076923,0.7705887183,June,July to  Oct,Nov to Dec,178315,rice
Barishal,Kharif 2,Aman,302665,87.19,45.3,42.93,6.29,26.0,12.0,40,72.5,85,60,175.42564102564103,0.7571043893,June,July to  Oct,Nov to Dec,229149,rice
Bhola,Kharif 2,Aman,388575,78.77,46.2,37.59,6.38,26.0,12.0,40,72.5,85,60,185.23090277777777,1.100652384,June,July to  Oct,Nov to Dec,427686,rice
Bogura,Kharif 2,Aman,443007,78.77,44.86,38.25,6.12,26.0,12.0,40,72.5,85,60,142.85416666666666,1.192475514,June,July to  Oct,Nov to Dec,528275,rice
Brahmanbaria,Kharif 2,Aman,174588,87.46,47.93,38.02,6.29,26.0,12.0,40,72.5,85,60,185.7563131313132,1.014634454,June,July to  Oct,Nov to Dec,177143,rice
Chandpur,Kharif 2,Aman,90004,83.57,52.22,41.86,6.56,26.0,12.0,40,72.5,85,60,168.796875,0.7804430914,June,July to  Oct,Nov to Dec,70243,rice
Chapai Nawabganj,Kharif 2,Aman,140665,77.64,48.5,42.02,6.71,26.0,12.0,40,72.5,85,60,124.92,1.127252693,June,July to  Oct,Nov to Dec,158565,rice
Chattogram,Kharif 2,Aman,444857,82.49,46.86,40.95,6.35,26.0,12.0,40,72.5,85,60,243.94444444444449,0.9779996718,June,July to  Oct,Nov to Dec,435070,rice
Chuadanga,Kharif 2,Aman,85718,77.67,46.75,42.7,6.58,26.0,12.0,40,72.5,85,60,129.44444444444446,1.096677477,June,July to  Oct,Nov to Dec,94005,rice
CoxsBazar,Kharif 2,Aman,181306,77.66,43.12,37.05,6.06,26.0,12.0,40,72.5,85,60,303.40277777777777,1.110415541,June,July to  Oct,Nov to Dec,201325,rice
Cumilla,Kharif 2,Aman,327517,81.05,50.1,43.86,6.56,26.0,12.0,40,72.5,85,60,185.7563131313132,0.9096474381,June,July to  Oct,Nov to Dec,297925,rice
Dhaka,Kharif 2,Aman,18702,70.72,47.36,43.51,6.27,26.0,12.0,40,72.5,85,60,169.94262295081967,0.9652443589,June,July to  Oct,Nov to Dec,18052,rice
Dinajpur,Kharif 2,Aman,645472,71.62,47.06,41.63,6.49,26.0,12.0,40,72.5,85,60,154.21843434343435,1.078918993,June,July to  Oct,Nov to Dec,696412,rice
Faridpur,Kharif 2,Aman,191856,77.19,56.7,44.13,6.38,26.0,12.0,40,72.5,85,60,155.864898989899,1.040175965,June,July to  Oct,Nov to Dec,199564,rice
Feni,Kharif 2,Aman,163129,75.04,48.43,35.91,6.68,26.0,12.0,40,72.5,85,60,248.1727642276423,1.202152897,June,July to  Oct,Nov to Dec,196106,rice
Gaibandha,Kharif 2,Aman,293991,81.4,45.43,38.62,6.26,26.0,12.0,40,72.5,85,60,179.6013888888889,1.126656938,June,July to  Oct,Nov to Dec,331227,rice
Gazipur,Kharif 2,Aman,112432,75.54,46.36,38.11,6.55,26.0,12.0,40,72.5,85,60,169.94262295081967,1.185907927,June,July to  Oct,Nov to Dec,133334,rice
Gopalganj,Kharif 2,Aman,59993,73.12,50.86,41.6,6.38,26.0,12.0,40,72.5,85,60,155.864898989899,0.7519377261,June,July to  Oct,Nov to Dec,45111,rice
Habiganj,Kharif 2,Aman,245464,86.92,47.9,37.36,6.4,26.0,12.0,40,72.5,85,60,333.72557471264366,1.064665287,June,July to  Oct,Nov to Dec,261337,rice
Jamalpur,Kharif 2,Aman,265787,78.81,43.47,41.68,6.39,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9535003593,June,July to  Oct,Nov to Dec,253428,rice
Jashore,Kharif 2,Aman,338887,80.21,50.2,43.15,6.27,26.0,12.0,40,72.5,85,60,134.2247474747475,1.14695459,June,July to  Oct,Nov to Dec,388688,rice
Jhallokati,Kharif 2,Aman,116665,73.06,45.67,41.53,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.7944799211,June,July to  Oct,Nov to Dec,92688,rice
Jhenaidah,Kharif 2,Aman,252930,77.28,52.93,40.55,6.42,26.0,12.0,40,72.5,85,60,134.2247474747475,1.369529119,June,July to  Oct,Nov to Dec,346395,rice
Joypurhat,Kharif 2,Aman,170726,80.42,50.66,37.51,6.48,26.0,12.0,40,72.5,85,60,142.85416666666666,1.137928611,June,July to  Oct,Nov to Dec,194274,rice
Khagrachari,Kharif 2,Aman,66694,74.37,46.3,37.84,6.45,26.0,12.0,40,72.5,85,60,204.11111111111111,1.304375206,June,July to  Oct,Nov to Dec,86994,rice
Khulna,Kharif 2,Aman,237461,81.69,51.24,42.86,6.58,26.0,12.0,40,72.5,85,60,144.96843434343435,1.120950388,June,July to  Oct,Nov to Dec,266182,rice
