District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Crop_Label_22,Season_enc,District_enc,Crop_enc,Crop_22_enc,Production_log
Bandarban,Kharif 2,Aman,25646,79.23,51.5,40.89,6.42,26.0,12.0,40,72.5,85,60,243.94444444444449,30154,rice,1,1,0,15,10.314106025885087
Dhaka,Kharif 2,Aman,18702,70.72,47.36,43.51,6.27,26.0,12.0,40,72.5,85,60,169.94262295081967,18052,rice,1,13,0,15,9.801067154936659
Gopalganj,Kharif 2,Aman,59993,73.12,50.86,41.6,6.38,26.0,12.0,40,72.5,85,60,155.864898989899,45111,rice,1,19,0,15,10.716903565487018
Madaripur,Kharif 2,Aman,40746,74.82,50.52,44.44,6.55,26.0,12.0,40,72.5,85,60,160.41666666666666,33832,rice,1,33,0,15,10.429191936530588
Manikganj,Kharif 2,Aman,19457,74.04,46.43,40.32,6.45,26.0,12.0,40,72.5,85,60,169.94262295081967,17897,rice,1,35,0,15,9.792444253742804
Munshiganj,Kharif 2,Aman,41822,73.52,53.47,40.31,6.69,26.0,12.0,40,72.5,85,60,169.94262295081967,16453,rice,1,38,0,15,9.708323887728875
Narayanganj,Kharif 2,Aman,19756,79.34,47.35,35.88,6.56,26.0,12.0,40,72.5,85,60,169.94262295081967,10831,rice,1,42,0,15,9.290259995152056
Rangamati,Kharif 2,Aman,23990,84.83,48.55,40.75,6.66,26.0,12.0,40,72.5,85,60,204.11111111111111,28765,rice,1,54,0,15,10.266949413163834
Shariatpur,Kharif 2,Aman,32898,78.41,51.34,38.17,6.61,26.0,12.0,40,72.5,85,60,155.864898989899,23078,rice,1,57,0,15,10.046678392127044
Bandarban,Kharif 2,Arhar,64,22.42,67.64,22.65,5.5,28.0,26.0,30,35.0,50,20,243.94444444444449,17,pigeonpeas,1,1,1,13,2.8903717578961645
Bogura,Kharif 2,Arhar,6,19.93,69.95,21.08,5.7,28.0,26.0,30,35.0,50,20,142.85416666666666,2,pigeonpeas,1,5,1,13,1.0986122886681098
Chapai Nawabganj,Kharif 2,Arhar,50,20.69,66.14,21.36,5.57,28.0,26.0,30,35.0,50,20,124.92,19,pigeonpeas,1,8,1,13,2.995732273553991
Chattogram,Kharif 2,Arhar,35,22.68,63.98,21.17,5.83,28.0,26.0,30,35.0,50,20,243.94444444444449,23,pigeonpeas,1,9,1,13,3.1780538303479458
Chuadanga,Kharif 2,Arhar,24,17.47,74.29,19.17,5.68,28.0,26.0,30,35.0,50,20,129.44444444444446,6,pigeonpeas,1,10,1,13,1.9459101490553132
CoxsBazar,Kharif 2,Arhar,2,21.75,66.42,21.94,5.61,28.0,26.0,30,35.0,50,20,303.40277777777777,4,pigeonpeas,1,11,1,13,1.6094379124341003
Dinajpur,Kharif 2,Arhar,15,20.84,71.79,20.39,5.67,28.0,26.0,30,35.0,50,20,154.21843434343435,4,pigeonpeas,1,14,1,13,1.6094379124341003
Faridpur,Kharif 2,Arhar,5,18.26,65.98,20.96,5.96,28.0,26.0,30,35.0,50,20,155.864898989899,2,pigeonpeas,1,15,1,13,1.0986122886681098
Feni,Kharif 2,Arhar,11,20.46,69.37,19.24,5.96,28.0,26.0,30,35.0,50,20,248.1727642276423,2,pigeonpeas,1,16,1,13,1.0986122886681098
Gaibandha,Kharif 2,Arhar,49,21.17,67.63,20.33,6.03,28.0,26.0,30,35.0,50,20,179.6013888888889,29,pigeonpeas,1,17,1,13,3.4011973816621555
Jamalpur,Kharif 2,Arhar,8,20.11,72.56,22.12,5.71,28.0,26.0,30,35.0,50,20,181.08838383838383,2,pigeonpeas,1,21,1,13,1.0986122886681098
Jashore,Kharif 2,Arhar,12,21.87,65.84,19.89,5.66,28.0,26.0,30,35.0,50,20,134.2247474747475,4,pigeonpeas,1,22,1,13,1.6094379124341003
Joypurhat,Kharif 2,Arhar,20,21.37,66.68,19.94,5.9,28.0,26.0,30,35.0,50,20,142.85416666666666,8,pigeonpeas,1,25,1,13,2.1972245773362196
Khagrachari,Kharif 2,Arhar,29,20.85,70.11,22.02,5.65,28.0,26.0,30,35.0,50,20,204.11111111111111,9,pigeonpeas,1,26,1,13,2.302585092994046
Kurigram,Kharif 2,Arhar,61,20.32,62.26,20.7,5.77,28.0,26.0,30,35.0,50,20,179.6013888888889,18,pigeonpeas,1,29,1,13,2.9444389791664403
Kushtia,Kharif 2,Arhar,91,20.24,68.24,18.82,5.61,28.0,26.0,30,35.0,50,20,129.44444444444446,43,pigeonpeas,1,30,1,13,3.784189633918261
Lakshmipur,Kharif 2,Arhar,14,18.91,75.61,18.98,5.79,28.0,26.0,30,35.0,50,20,185.7563131313132,2,pigeonpeas,1,31,1,13,1.0986122886681098
Lalmonirhat,Kharif 2,Arhar,7,21.1,63.66,22.33,5.5,28.0,26.0,30,35.0,50,20,179.6013888888889,1,pigeonpeas,1,32,1,13,0.6931471805599453
Magura,Kharif 2,Arhar,11,20.74,69.82,18.89,5.91,28.0,26.0,30,35.0,50,20,134.2247474747475,3,pigeonpeas,1,34,1,13,1.3862943611198906
Meherpur,Kharif 2,Arhar,16,18.97,69.15,20.7,5.72,28.0,26.0,30,35.0,50,20,129.44444444444446,6,pigeonpeas,1,36,1,13,1.9459101490553132
Moulvibazar,Kharif 2,Arhar,26,20.21,69.72,19.15,5.61,28.0,26.0,30,35.0,50,20,333.72557471264366,7,pigeonpeas,1,37,1,13,2.0794415416798357
Munshiganj,Kharif 2,Arhar,12,20.3,70.31,20.55,5.61,28.0,26.0,30,35.0,50,20,169.94262295081967,3,pigeonpeas,1,38,1,13,1.3862943611198906
Naogaon,Kharif 2,Arhar,132,20.53,69.4,21.63,5.9,28.0,26.0,30,35.0,50,20,124.92,55,pigeonpeas,1,40,1,13,4.02535169073515
Natore,Kharif 2,Arhar,15,21.05,67.19,22.43,5.84,28.0,26.0,30,35.0,50,20,124.92,3,pigeonpeas,1,44,1,13,1.3862943611198906
Netrokona,Kharif 2,Arhar,8,20.64,63.77,20.29,5.65,28.0,26.0,30,35.0,50,20,181.08838383838383,3,pigeonpeas,1,45,1,13,1.3862943611198906
