District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Crop_Label_22,_orig_id,Season_enc,District_enc,Crop_enc,Crop_22_enc,Production_log
Bandarban,Kharif 2,Aman,25646.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,243.94444444444449,30154.0,rice,1,1,1,0,15,10.314106025885087
Chandpur,Kharif 2,Aman,90004.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,168.796875,70243.0,rice,7,1,7,0,15,11.159730174295746
Dhaka,Kharif 2,Aman,18702.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,18052.0,rice,13,1,13,0,15,9.801067154936659
Gopalganj,Kharif 2,Aman,59993.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,45111.0,rice,19,1,19,0,15,10.716903565487018
Madaripur,Kharif 2,Aman,40746.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,160.41666666666666,33832.0,rice,33,1,33,0,15,10.429191936530588
Manikganj,Kharif 2,Aman,19457.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,17897.0,rice,35,1,35,0,15,9.792444253742804
Munshiganj,Kharif 2,Aman,41822.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,16453.0,rice,38,1,38,0,15,9.708323887728875
Narayanganj,Kharif 2,Aman,19756.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,10831.0,rice,42,1,42,0,15,9.290259995152056
Rangamati,Kharif 2,Aman,23990.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,204.11111111111111,28765.0,rice,54,1,54,0,15,10.266949413163834
Shariatpur,Kharif 2,Aman,32898.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,23078.0,rice,57,1,57,0,15,10.046678392127044
