District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production,Crop_Label_22
Bagerhat,Kharif 2,Aman,177321,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,144.96843434343435,0.8510272331,June,July to  Oct,Nov to Dec,150905,rice
Bandarban,Kharif 2,Aman,25646,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,243.94444444444449,1.175777899,June,July to  Oct,Nov to Dec,30154,rice
Barguna,Kharif 2,Aman,231401,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,207.8076923076923,0.7705887183,June,July to  Oct,Nov to Dec,178315,rice
Barishal,Kharif 2,Aman,302665,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.7571043893,June,July to  Oct,Nov to Dec,229149,rice
Bhola,Kharif 2,Aman,388575,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.23090277777777,1.100652384,June,July to  Oct,Nov to Dec,427686,rice
Bogura,Kharif 2,Aman,443007,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.192475514,June,July to  Oct,Nov to Dec,528275,rice
Brahmanbaria,Kharif 2,Aman,174588,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131316,1.014634454,June,July to  Oct,Nov to Dec,177143,rice
Chandpur,Kharif 2,Aman,90004,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,168.796875,0.7804430914,June,July to  Oct,Nov to Dec,70243,rice
Chapai Nawabganj,Kharif 2,Aman,140665,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.127252693,June,July to  Oct,Nov to Dec,158565,rice
Chattogram,Kharif 2,Aman,444857,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,243.94444444444449,0.9779996718,June,July to  Oct,Nov to Dec,435070,rice
Chuadanga,Kharif 2,Aman,85718,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.096677477,June,July to  Oct,Nov to Dec,94005,rice
CoxsBazar,Kharif 2,Aman,181306,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,303.40277777777777,1.110415541,June,July to  Oct,Nov to Dec,201325,rice
Cumilla,Kharif 2,Aman,327517,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131316,0.9096474381,June,July to  Oct,Nov to Dec,297925,rice
Dhaka,Kharif 2,Aman,18702,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.9652443589,June,July to  Oct,Nov to Dec,18052,rice
Dinajpur,Kharif 2,Aman,645472,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,1.078918993,June,July to  Oct,Nov to Dec,696412,rice
Faridpur,Kharif 2,Aman,191856,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,1.040175965,June,July to  Oct,Nov to Dec,199564,rice
Feni,Kharif 2,Aman,163129,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,248.1727642276423,1.202152897,June,July to  Oct,Nov to Dec,196106,rice
Gaibandha,Kharif 2,Aman,293991,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.126656938,June,July to  Oct,Nov to Dec,331227,rice
Gazipur,Kharif 2,Aman,112432,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,1.185907927,June,July to  Oct,Nov to Dec,133334,rice
