District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Season_enc,District_enc,Crop_enc,Production_log
Narayanganj,Kharif 2,Aman,19756,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,10831,1,42,0,9.290259995152056
Bagerhat,Kharif 1,Amra,167,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,144.96843434343435,1119,0,0,1,7.02108396428914
Bandarban,Kharif 1,Amra,128,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,243.94444444444449,167,0,1,1,5.123963979403259
Barguna,Kharif 1,Amra,1597,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,207.8076923076923,1469,0,2,1,7.293017679772782
Barishal,Kharif 1,Amra,1351,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,175.42564102564103,5500,0,3,1,8.612685172875459
Bhola,Kharif 1,Amra,148,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,185.23090277777777,763,0,4,1,6.638567789166521
Bogura,Kharif 1,Amra,233,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,142.85416666666666,790,0,5,1,6.673297967767654
Brahmanbaria,Kharif 1,Amra,15,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,185.75631313131316,13,0,6,1,2.6390573296152584
Chandpur,Kharif 1,Amra,50,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,168.796875,263,0,7,1,5.575949103146316
Chapai Nawabganj,Kharif 1,Amra,71,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,124.92,155,0,8,1,5.049856007249537
Chattogram,Kharif 1,Amra,95,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,243.94444444444449,457,0,9,1,6.126869184114185
Chuadanga,Kharif 1,Amra,77,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,129.44444444444446,362,0,10,1,5.8944028342648505
CoxsBazar,Kharif 1,Amra,142,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,303.40277777777777,370,0,11,1,5.916202062607435
Cumilla,Kharif 1,Amra,330,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,185.75631313131316,357,0,12,1,5.8805329864007
Dhaka,Kharif 1,Amra,31,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,169.94262295081967,235,0,13,1,5.4638318050256105
Dinajpur,Kharif 1,Amra,47,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,154.21843434343435,569,0,14,1,6.345636360828596
Faridpur,Kharif 1,Amra,479,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,155.864898989899,647,0,15,1,6.473890696352274
Feni,Kharif 1,Amra,28,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,248.1727642276423,55,0,16,1,4.02535169073515
Gaibandha,Kharif 1,Amra,11,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,179.6013888888889,149,0,17,1,5.0106352940962555
Gazipur,Kharif 1,Amra,40,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,169.94262295081967,236,0,18,1,5.4680601411351315
Gopalganj,Kharif 1,Amra,52,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,155.864898989899,591,0,19,1,6.3835066348840055
Habiganj,Kharif 1,Amra,141,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,333.72557471264366,533,0,20,1,6.280395838960195
Jamalpur,Kharif 1,Amra,86,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,181.08838383838383,350,0,21,1,5.860786223465865
Jashore,Kharif 1,Amra,204,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,134.2247474747475,1220,0,22,1,7.107425474110705
Jhallokati,Kharif 1,Amra,742,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,175.42564102564103,4550,0,23,1,8.423102268016642
Jhenaidah,Kharif 1,Amra,97,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,134.2247474747475,1407,0,24,1,7.249925536717988
Joypurhat,Kharif 1,Amra,31,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,142.85416666666666,303,0,25,1,5.717027701406222
Khagrachari,Kharif 1,Amra,129,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,204.11111111111111,266,0,26,1,5.58724865840025
Khulna,Kharif 1,Amra,592,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,144.96843434343435,883,0,27,1,6.784457062637643
Kishoreganj,Kharif 1,Amra,60,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,181.08838383838383,567,0,28,1,6.342121418721152
Kurigram,Kharif 1,Amra,24,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,179.6013888888889,167,0,29,1,5.123963979403259
Kushtia,Kharif 1,Amra,63,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,129.44444444444446,582,0,30,1,6.368187186350492
Lakshmipur,Kharif 1,Amra,13,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,185.75631313131316,360,0,31,1,5.8888779583328805
Lalmonirhat,Kharif 1,Amra,6,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,179.6013888888889,9,0,32,1,2.302585092994046
Madaripur,Kharif 1,Amra,33,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,160.41666666666666,699,0,33,1,6.551080335043404
Magura,Kharif 1,Amra,96,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,134.2247474747475,992,0,34,1,6.900730664045173
Manikganj,Kharif 1,Amra,18,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,169.94262295081967,74,0,35,1,4.31748811353631
Meherpur,Kharif 1,Amra,101,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,129.44444444444446,187,0,36,1,5.236441962829949
Moulvibazar,Kharif 1,Amra,86,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,333.72557471264366,772,0,37,1,6.650279048587422
Munshiganj,Kharif 1,Amra,15,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,169.94262295081967,137,0,38,1,4.927253685157205
Mymensingh,Kharif 1,Amra,407,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,181.08838383838383,684,0,39,1,6.529418838262226
Naogaon,Kharif 1,Amra,62,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,124.92,344,0,40,1,5.84354441703136
Narail,Kharif 1,Amra,218,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,134.2247474747475,1334,0,41,1,7.19668657083435
Narayanganj,Kharif 1,Amra,8,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,169.94262295081967,137,0,42,1,4.927253685157205
Narsingdi,Kharif 1,Amra,28,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,169.94262295081967,220,0,43,1,5.3981627015177525
Natore,Kharif 1,Amra,270,50.55181818181818,53.36272727272726,48.14909090909091,6.47,25.0,20.0,30,70.0,80,60,124.92,830,0,44,1,6.7226297948554485
