District,Code
Bagerhat,0
Bandarban,1
Barguna,2
Barishal,3
Bhola,4
Bogura,5
Brahmanbaria,6
Chandpur,7
Chapai Nawabganj,8
Chattogram,9
Chuadanga,10
CoxsBazar,11
Cumilla,12
Dhaka,13
Dinajpur,14
Faridpur,15
Feni,16
Gaibandha,17
Gazipur,18
Gopalganj,19
Habiganj,20
Jamalpur,21
Jashore,22
Jhallokati,23
Jhenaidah,24
Joypurhat,25
Khagrachari,26
Khulna,27
Kishoreganj,28
Kurigram,29
Kushtia,30
Lakshmipur,31
Lalmonirhat,32
Madaripur,33
Magura,34
Manikganj,35
Meherpur,36
Moulvibazar,37
Munshiganj,38
Mymensingh,39
Naogaon,40
Narail,41
Narayanganj,42
Narsingdi,43
Natore,44
Netrokona,45
Nilphamari,46
Noakhali,47
Pabna,48
Panchagar,49
Patuakhali,50
Pirojpur,51
Rajbari,52
Rajshahi,53
Rangamati,54
Rangpur,55
Satkhira,56
Shariatpur,57
Sherpur,58
Sirajganj,59
Sunamganj,60
Sylhet,61
Tangail,62
Thakurgaon,63
